origin_code,destination_code,sector,trade
4.0,12.0,0,5299.57972
4.0,12.0,1,30192.061158000004
4.0,13.0,0,68593.837746
4.0,13.0,1,305962.952141
5.0,1.0,0,16867.87632
5.0,1.0,1,24921.915301
5.0,2.0,0,33840.53676
5.0,2.0,1,25892.835527
5.0,3.0,0,6066.476172000001
5.0,3.0,1,4459.153525
5.0,4.0,0,41052.733794
5.0,4.0,1,9242.80651
5.0,5.0,0,2598516.255302
5.0,5.0,1,1326632.796459
5.0,6.0,0,4047.5022289999997
5.0,6.0,1,3367.343029
5.0,7.0,0,1311.346774
5.0,7.0,1,2486.462498
5.0,8.0,0,3895.4026569999996
5.0,8.0,1,1701.521187
5.0,9.0,0,1732.2740970000002
5.0,9.0,1,3350.760738
5.0,10.0,0,264.365005
5.0,10.0,1,514.709012
5.0,11.0,0,1103.738924
5.0,11.0,1,3674.2008109999997
5.0,12.0,0,1275.977859
5.0,12.0,1,1591.546314
5.0,13.0,0,16825.351276
5.0,13.0,1,27916.242635000002
6.0,1.0,0,14367.980929
6.0,1.0,1,77081.47878
6.0,2.0,0,20937.557507999998
6.0,2.0,1,78964.246916
6.0,3.0,0,1934.5447840000002
6.0,3.0,1,11312.768209999998
6.0,4.0,0,8753.756889
6.0,4.0,1,19940.05663
6.0,5.0,0,2104.898545
6.0,5.0,1,10632.463096
6.0,6.0,0,2336923.581161
6.0,6.0,1,1216150.379462
6.0,7.0,0,947.960059
6.0,7.0,1,5759.837651
6.0,8.0,0,2594.773809
6.0,8.0,1,10183.7128
6.0,9.0,0,1354.632157
6.0,9.0,1,4034.4665780000005
6.0,10.0,0,1334.724544
6.0,10.0,1,4559.869441000001
6.0,11.0,0,509.991482
6.0,11.0,1,3803.456327
6.0,12.0,0,1365.7320599999998
6.0,12.0,1,5337.137672
6.0,13.0,0,14385.073704
6.0,13.0,1,57605.572683
7.0,1.0,0,177690.089217
7.0,1.0,1,194139.746966
7.0,2.0,0,33843.736827
7.0,2.0,1,25181.37224
7.0,3.0,0,7399.799209
