origin_code,destination_code,sector,trade
5.0,3.0,2,109.37779300000001
5.0,4.0,0,508.159818
5.0,4.0,1,310.44406
5.0,4.0,2,31.040121999999997
5.0,5.0,0,559073.0613500001
5.0,5.0,1,311765.27952
5.0,5.0,2,35685.685357
5.0,6.0,0,112.181221
5.0,6.0,1,247.685721
5.0,6.0,2,12.522845
5.0,7.0,0,515.4059520000001
5.0,7.0,1,958.832715
5.0,7.0,2,26.228153
5.0,8.0,0,506.135639
5.0,8.0,1,430.097257
5.0,8.0,2,18.700963
5.0,9.0,0,152.309507
5.0,9.0,1,535.319768
5.0,9.0,2,30.093607
5.0,10.0,0,367.53216799999996
5.0,10.0,1,832.99864
5.0,10.0,2,79.09755000000001
5.0,11.0,0,74.062094
5.0,11.0,1,157.682253
5.0,11.0,2,17.629845
5.0,12.0,0,4450.587566
5.0,12.0,1,11432.032352
5.0,12.0,2,1210.944007
6.0,1.0,0,2073.502457
6.0,1.0,1,10721.328771
6.0,1.0,2,547.52397
6.0,2.0,0,3488.490788
6.0,2.0,1,8930.642348
6.0,2.0,2,752.0087370000001
6.0,3.0,0,797.605454
6.0,3.0,1,2727.413004
6.0,3.0,2,59.962813
6.0,4.0,0,378.294684
6.0,4.0,1,477.95081899999997
6.0,4.0,2,50.721767
6.0,5.0,0,49.123457
6.0,5.0,1,184.83024899999998
6.0,5.0,2,92.83169000000001
6.0,6.0,0,481596.562173
6.0,6.0,1,242690.041133
6.0,6.0,2,25011.391303
6.0,7.0,0,185.93184300000001
6.0,7.0,1,667.309591
6.0,7.0,2,56.180079
6.0,8.0,0,298.822879
6.0,8.0,1,1145.0771
6.0,8.0,2,82.12879699999999
6.0,9.0,0,168.745972
6.0,9.0,1,472.38401799999997
6.0,9.0,2,203.686814
6.0,10.0,0,46.858157000000006
6.0,10.0,1,177.928721
6.0,10.0,2,93.124934
6.0,11.0,0,56.450225
6.0,11.0,1,217.396843
6.0,11.0,2,20.45992
6.0,12.0,0,3198.638803
6.0,12.0,1,11640.446571
6.0,12.0,2,822.358762
7.0,1.0,0,57439.245918
7.0,1.0,1,149188.492454
7.0,1.0,2,7545.32981
7.0,2.0,0,12044.534742
7.0,2.0,1,12009.054601
7.0,2.0,2,534.454785
7.0,3.0,0,4739.584454
7.0,3.0,1,4482.419323
7.0,3.0,2,187.32514700000002
7.0,4.0,0,963.179746
7.0,4.0,1,1182.260544
7.0,4.0,2,156.764989
7.0,5.0,0,460.833926
7.0,5.0,1,652.890037
7.0,5.0,2,131.541786
7.0,6.0,0,211.920686
7.0,6.0,1,299.644288
7.0,6.0,2,29.868485
7.0,7.0,0,676183.3433910001
7.0,7.0,1,233730.68569900002
7.0,7.0,2,14446.227785
7.0,8.0,0,749.7221380000001
7.0,8.0,1,785.468967
7.0,8.0,2,93.36725899999999
7.0,9.0,0,106.4433
7.0,9.0,1,209.965441
7.0,9.0,2,10.363428
7.0,10.0,0,984.1925939999999
7.0,10.0,1,2217.522416
7.0,10.0,2,122.065327
7.0,11.0,0,136.679227
7.0,11.0,1,148.440797
7.0,11.0,2,6.66497
7.0,12.0,0,7683.983543
7.0,12.0,1,9098.886325
7.0,12.0,2,748.979687
8.0,1.0,0,6005.889659
8.0,1.0,1,32630.638039
8.0,1.0,2,811.7020279999999
8.0,2.0,0,4540.915583
8.0,2.0,1,23266.036604
8.0,2.0,2,669.235743
8.0,3.0,0,5921.842696
8.0,3.0,1,13371.109614
