,baseline,variation,method,USA,EUR,JAP,CHN,BRA,IND,ROW,aggregation_method,CAN,KOR,RUS,MEX,ZAF
87,1060,10.3,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,
88,1210,baseline,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
89,1210,2.0,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
90,1210,10.2,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
91,1210,10.3,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
92,1210,99.0,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
93,1210,99.1,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
94,1210,99.2,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
95,1210,99.3,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
96,1210,99.4,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
97,1210,99.5,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
98,1210,99.6,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
99,1210,99.7,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
100,1210,99.8,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
101,1210,99.9,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
102,1210,99.10,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
103,1210,99.11,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
104,1210,99.12,,0.01,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
105,1210,99.13,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
106,1210,99.14,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
107,1210,99.15,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
108,1300,baseline,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
109,1300,2.0,,0.01,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
110,1300,10.3,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
111,1300,99.0,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
112,1300,99.1,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
113,1300,99.2,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
114,1300,99.3,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
115,1300,99.4,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
116,1300,99.5,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
117,1300,99.6,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
118,1300,99.7,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
119,1300,99.9,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
120,1300,99.10,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
121,1300,99.11,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
122,1300,99.12,,0.01,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
123,1300,99.13,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
124,1300,99.14,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
125,1300,99.15,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
126,1300,99.8,,0.0155384563214837,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
127,1300,12.0,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
128,1300,13.0,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,fixed_point,12.0,12.0,12.0,12.0,12.0
