,tau_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ROW,pop_weighted,negishi
25,1.0,-0.0212080176969854,-0.0252788334603554,-0.0307882192852938,-0.0212959278730748,-0.0232972735896889,-0.0240721007767157,-0.0239897534058093,0.5885697223131572,-0.0241070898111894,-0.0240890104258689,-0.0249446188704731,-0.0230775429606521,-0.0117128359503255
26,1.02,-0.0206065948205472,-0.0247209692111956,-0.0298959809990944,-0.0208709037329346,-0.0228694733401397,-0.0236206759348096,-0.0234535199639533,0.5845689393410186,-0.0236972512353313,-0.0236593730422859,-0.0245013557886192,-0.0226376723142412,-0.0113168926058975
27,1.04,-0.0200025444397391,-0.024162992388776,-0.0290294629291912,-0.0204360116222761,-0.0224328594089225,-0.0231573858563267,-0.0229146823895261,0.5803285748365264,-0.0232721534182608,-0.0232132780371268,-0.0240405198164845,-0.0221840062221754,-0.0109165517055845
28,1.06,-0.0194085407106806,-0.0236066136701134,-0.0281854367182624,-0.0199940830653026,-0.0219898349319596,-0.022685652903588,-0.0223757970384216,0.5758838361553013,-0.0228351858378525,-0.0227549599145244,-0.0235665687861135,-0.0217203774452646,-0.0105156203930987
29,1.08,-0.0188269028029484,-0.0230550043185615,-0.0273658206161174,-0.0195490885460396,-0.0215441196589257,-0.0222100174209916,-0.0218407382352947,0.5712666352973802,-0.0223910600779077,-0.0222895967122515,-0.0230850486563307,-0.0212516702217455,-0.0101174223563574
30,1.1,-0.0182595781494577,-0.022510907748661,-0.0265721242561491,-0.0191044770527524,-0.0210989719042191,-0.021734415301727,-0.0213127721714508,0.5665071773898364,-0.021943895243709,-0.021821686412843,-0.0226007222199673,-0.0207820914461255,-0.0097247734910168
31,1.12,-0.017708155659891,-0.0219766505084377,-0.0258054726171173,-0.018663201353355,-0.0206572001061958,-0.0212622013582686,-0.0207945986892128,0.5616335990186361,-0.0214972356000583,-0.0213550693169881,-0.0221176184372414,-0.0203152077258404,-0.0093400142327743
32,1.14,-0.0171738878293884,-0.0214541640959892,-0.0250666376353525,-0.018227751255658,-0.0202211859167454,-0.0207961864642226,-0.0202884013624299,0.5566717614982299,-0.0210540831008005,-0.0208929691171183,-0.0216390937727722,-0.0198539943323088,-0.0089650489825409
33,1.16,-0.0166577184395137,-0.0209450135430984,-0.0243560741069813,-0.0178001917780066,-0.019792914382617,-0.0203386832747235,-0.0197959014237261,0.5516451640406576,-0.020616939492696,-0.0204380444954739,-0.0211678996233288,-0.0194008907844273,-0.00860138915429
34,1.1800000000000002,-0.0152858972380535,-0.0205899519095338,-0.0238150787461805,-0.0193477720373188,-0.0195285741562806,-0.0200378029505174,-0.0194747732810645,0.5473473906587416,-0.0203282524222475,-0.0201420532207258,-0.0208666521278083,-0.0193121220226745,-0.008613545335173
35,1.2000000000000002,-0.0148353344559191,-0.0201167050016916,-0.0231675745060279,-0.0189502937207095,-0.01912643705031,-0.0196093067964752,-0.0190187296612265,0.5422596789145304,-0.0199153536825445,-0.019714800547075,-0.0204226732247573,-0.0188874620453907,-0.0082862533498313
36,1.22,-0.014403093102873,-0.0196592852577105,-0.0225477961168845,-0.0185633191742619,-0.0187356042877583,-0.019193359890596,-0.018578946079468,0.5371620346034217,-0.0195130678352695,-0.0192993657244103,-0.0199909341740351,-0.018475090749952,-0.0079721714110742
37,1.24,-0.0139892171705538,-0.019218157843847,-0.0219553317820062,-0.0181877441115049,-0.0183568597977782,-0.0187908110516333,-0.0181558539377477,0.5320693138237444,-0.0191224020590088,-0.0188967698853511,-0.0195724568652689,-0.0180759084948319,-0.0076717127705696
38,1.26,-0.0135936042582378,-0.0187935901422847,-0.0213896298530129,-0.0178242278304524,-0.0179907674133872,-0.018402251964189,-0.0177496665060826,0.5269944599342737,-0.0187440978284067,-0.0185077431251923,-0.0191679683989036,-0.0176905474202747,-0.0073851002745475
39,1.28,-0.0132160300798702,-0.0183856812917727,-0.0208500269459872,-0.0174732265832733,-0.0176377019132588,-0.0180280565075126,-0.0173604163702914,0.5219486699471817,-0.0183786700604704,-0.0181327696187091,-0.0187779479077182,-0.0173194132863492,-0.0071123975690731
40,1.3,-0.012856170654775,-0.017994389125432,-0.0203357727676385,-0.0171350238254704,-0.0172978685844363,-0.0176684268187043,-0.0169879882623831,0.5169415718825942,-0.0180264423619393,-0.017772127810539,-0.0184026677532589,-0.0169627254010524,-0.0068535370839814
41,1.32,-0.0125136160493679,-0.0176195557093752,-0.0198460531349741,-0.0168097586507401,-0.0169713671565856,-0.0173233865428388,-0.0166321490558466,0.5119813773348252,-0.0176875797189334,-0.017425927242369,-0.01804223087143,-0.0166205403638091,-0.0066083429343655
42,1.34,-0.0121879051857189,-0.0172609239817774,-0.0193800039336202,-0.0164974456135399,-0.0166581491772963,-0.016992855364768,-0.0162925674886761,0.5070749829956731,-0.0173621112353345,-0.0170941346783713,-0.01769659725248,-0.0162927893776951,-0.0063765542944261
43,1.36,-0.0118785229658177,-0.0169181611449939,-0.0189367317035486,-0.0161980001010572,-0.0163580861476251,-0.0166766473648049,-0.015968839927732,0.5022281875471132,-0.0170499586203981,-0.0167766050646018,-0.017365615177031,-0.0159792994249637,-0.0061578418396947
44,1.38,-0.0115849189721439,-0.0165908731486227,-0.0185153251515226,-0.0159112551512344,-0.0160709732327576,-0.0163744956471077,-0.0156605062718683,0.4974457918312626,-0.0167509549855117,-0.0164731025335887,-0.0170490421830131,-0.0156798140388081,-0.0059518235988987
45,1.4,-0.0113065182452879,-0.0162786185068996,-0.0181148660882835,-0.0156369772455419,-0.0157965440753881,-0.0160860694246413,-0.0153670646424694,0.492731717410358,-0.0164648622963829,-0.0161833194607581,-0.0167465641493054,-0.0153940109128796,-0.0057580779759489
