,eta,eta,eta,eta,eta,eta,eta,delta,delta,delta,delta,delta,delta,delta,fe,T,T,T,T,T,T,T,fo,g_0,nu,nu_tilde
SPFLOW,3.1962232515215874,2.4905098155140877,2.350080117583275,33.29960235208273,-2.317204274237156,-0.1937355250120163,4.478718586266041,4.252424463629723,0.32941193878650665,0.12319276481866837,0.11396374907574201,0.03734565998532394,-0.774498479104059,0.05443410199047769,-0.021029070019721985,-6.099647477411165e-11,-2.8167158382927324e-10,-1.6450575782791679e-10,-9.767084231539667e-09,-2.0187727997508306e-09,-4.4295582296237856e-08,-8.293020638192368e-09,-11.420441336929798,1.2884572967886925,-3.9966311752796173,-4.202129836777642e-11
SPFLOW,3.2161611914634705,2.499570280313492,2.323323041200638,0.9916737675666809,67.46061232686043,-0.2706270217895508,4.383523672819138,4.252227276563644,0.32939794659614563,0.12219718098640442,0.11357830036263757,0.038013475368548544,-0.774512334481991,0.05443644388210659,-0.02005067467689514,1.189582990619491e-10,5.493296560252492e-10,3.2082714959474316e-10,1.9048243874445522e-08,3.937109141802615e-09,8.638740427923004e-08,1.617345318493238e-08,-151.24322447180748,1.1509279310703278,-4.836386442184448,-4.380943872385201e-11
SPFLOW,3.2375512421131134,2.5326423048973083,2.348730221390724,1.0765230283141136,-2.312195010483265,-0.05061759799718857,15.212126791477203,4.253517881035805,0.3289940506219864,0.12241855263710022,0.11360413795206376,0.03735218994156768,-0.7744731410014313,0.054494374993300836,-0.019440583884716034,-1.608364757725332e-11,-7.427161165647502e-11,-4.337714012377905e-11,-2.5754003197592158e-09,-5.323132258049454e-10,-1.1679929660202021e-08,-2.1867168846974903e-09,-134.76852855831385,1.319635882973671,-3.617663189768791,2.3990883110680865e-11
SPFLOW,4.189280584454536,2.2780528888106346,2.1951907724142075,0.8606352210044861,-2.3197261095046997,2.6921148523688316,1.4365657567977905,4.468253813683987,0.32799625396728516,0.12161028385162354,0.113543255281666,0.037337581893557376,0.013794071781696242,-0.6524554009052754,0.5129278972744942,-2.86774470952913e-11,-1.3242768493465832e-10,-7.734225927730415e-11,-4.591987362589545e-09,-9.491245252559875e-10,-2.082553496017153e-08,-3.898957464224771e-09,-506.53109204769135,1.8334300816059113,-1.8576359152793884,8.940701780377962e-12
SPFLOW,3.0046074837446213,7.469544947147369,2.2144332230091095,0.9022490978240967,-2.3118289709091187,2.756949156522751,1.2009954303503036,4.231983944773674,0.33855101466178894,0.12185965478420258,0.11356454023436738,0.03735072781357389,0.01379583006675147,-0.6524755280717923,-0.017433002591133118,1.4566322334116216e-11,6.726485583982645e-11,3.928495709323386e-11,2.3324380254423084e-09,4.820949969554222e-10,1.0578049503579189e-08,1.980422838971312e-09,-202.5005175024271,1.54861219227314,-2.789547771215439,2.6375070252114987e-11
SPFLOW,3.027504988014698,2.3260223753750324,4.448711238801479,0.9888828545808792,-2.3106869384646416,2.7561995796859264,1.6276926323771477,4.22789665684104,0.32789281755685806,0.13747237622737885,0.11358768477011784,0.037325236505157365,0.01379299205254238,-0.6524483854659291,-0.018390905112028122,2.1849483501174325e-11,1.0089728375973967e-10,5.892743563985079e-11,3.498657038163463e-09,7.231424954331334e-10,1.5867074255368783e-08,2.970634258456968e-09,-309.7610816285014,1.620674155652523,-2.246442846953869,-1.6167769052850148e-11
SPFLOW,3.0260499641299248,2.334925316274166,2.2397719100117683,41.050067998468876,-2.315305955708027,2.733166918158531,1.0718932375311852,4.255121126770973,0.32944632321596146,0.12327024340629578,0.11395030346468943,0.03734601724736767,0.013794748045179023,-0.6524939008666956,-0.021362312138080597,-5.6141033996072917e-11,-2.5924996521599775e-10,-1.5141077213017215e-10,-8.989604889725564e-09,-1.8580744674323566e-09,-4.076956579504479e-08,-7.632879691868599e-09,134.16591142863035,1.3983928337693214,-3.8115760907530785,-3.911557028915358e-11
SPFLOW,3.0515487790107727,2.3618319034576416,2.214205414056778,0.8684459626674652,68.63022676110268,2.7437898218631744,0.9922726154327393,4.257056504487991,0.32951584458351135,0.12235593795776367,0.1135829552174581,0.03801196692880835,0.013795408261731703,-0.652497657309999,-0.01941654086112976,1.201721592564588e-10,5.549350606785682e-10,3.241008960191793e-10,1.9242613709899046e-08,3.977283724882234e-09,8.726890840452831e-08,1.6338488421513324e-08,104.47011438012123,1.366274893283844,-4.06663253903389,-3.9637111226342295e-11
SPFLOW,3.043709421530366,2.4106210935860872,2.2242787145078182,0.9088738206773996,-2.308779127895832,34.45584864169359,1.4491302408277988,4.233985060825944,0.32904776744544506,0.12159099988639355,0.11355628514027158,0.03735390016820294,0.013836847739400642,-0.6524703683359089,-0.08640121668577194,-4.449556275499563e-11,-2.0547311432321983e-10,-1.200032673707378e-10,-7.1248692808433025e-09,-1.4726495610122664e-09,-3.2312635592964553e-08,-6.04957289092018e-09,159.48585303500295,1.4232246279716492,-3.514692498371005,5.057084444526285e-11
SRGDP,0.6161475530825555,-0.30589332472300157,-0.06644913120544516,-0.33834772935369983,-0.022626069170655683,-0.18693804062786512,-0.918040517863119,0.023001264256890863,-0.00023561800480820239,-0.00014273985289037228,-1.8624287541838555e-05,-1.512352462519275e-05,-1.2837991817890415e-06,-4.504077556257211e-06,0.05075505399145186,6.164255189820175e-06,-7.804942415519504e-06,-1.2694420651395077e-06,-0.0001643285752260051,-8.122924689710354e-06,-0.0003458325368989473,-0.0003066536523729319,0.011286425840808079,-0.0023925294226501137,-0.11541061976458877,0.0
SRGDP,-0.18508099112659693,0.9294023308902979,-0.05386229790747166,-0.3018570616841316,-0.01743129827082157,-0.1499357782304287,-0.8717828560620546,-0.005528084002435207,0.001042332500219345,-0.00016586296260356903,-1.946517573763546e-05,-1.554916885698071e-05,-1.3132692972793475e-06,-4.766691134521129e-06,-0.007931994274258614,-1.7115896458092753e-06,2.8564441612900192e-05,-1.2694299596308786e-06,-0.00016432786968628013,-8.122782195485994e-06,-0.00034582941203569064,-0.0003066531979619461,-0.00378256943076849,-0.0055782971903681755,-0.008201578631997108,2.5145723757313016e-12
SRGDP,-0.1970631554722786,-0.2929382221773267,0.7136647533625364,-0.289903593249619,-0.01908708643168211,-0.1673067081719637,-0.8844846803694963,-0.005540214478969574,-0.00023932382464408875,0.0029463060200214386,-2.2409843187455243e-05,-1.5072819465340415e-05,-1.4101239825249114e-06,-5.4186950539306114e-06,-0.0028436891734600067,-1.7115899303077581e-06,-7.804923048408504e-06,1.997151159738596e-05,-0.00016432781198273523,-8.122777173663108e-06,-0.0003458290263776358,-0.0003066530329267095,-0.0021978532895445824,-0.008797578513622284,-0.04230310022830963,-1.6763815838208677e-12
SRGDP,-0.19158829003572464,-0.2656922899186611,-0.03323510102927685,1.9695837460458279,-0.01720048300921917,-0.1544663216918707,-0.7291086688637733,-0.0049523599445819855,-0.0002550482749938965,-0.00019743479788303375,0.00013799639495647425,-1.5893198973165372e-05,-1.4826217202974786e-06,-4.319398021833619e-06,-0.012067923322319984,-1.7116023154750553e-06,-7.804979277623932e-06,-1.2694642316637594e-06,0.0010967936122282505,-8.123195240418281e-06,-0.00034583775877787705,-0.0003066546497562929,0.008345311507582664,0.052491020411252975,0.3334896434098482,-8.8848223942506e-12
SRGDP,-0.1713774660602212,-0.24142370652407408,-0.05406197998672724,-0.29889928735792637,0.5372161325067282,-0.14145269617438316,-0.8226492386311293,-0.00405014306306839,-0.00021875742822885513,-0.0001392066478729248,-1.7376584839482247e-05,0.0004872549809242578,-1.4794696447421495e-06,-3.336530261059749e-06,-0.007643136195838451,-1.7115749467209822e-06,-7.804854732539292e-06,-1.2693908281306492e-06,-0.00016432553724825467,0.0002525411340883154,-0.00034581902681521447,-0.0003066510653972484,0.010620610788464546,0.08434223011136055,0.5022287257015705,-7.143248193281142e-12
SRGDP,-0.17496859468519688,-0.23079315293580294,-0.049295912496745586,-0.28302990831434727,-0.013839228078722954,2.350950541906059,-0.7098379023373127,-0.0051198918372392654,-0.00027870386838912964,-0.00015335716307163239,-1.9011582937871834e-05,-1.5287838287955827e-05,2.1522371891786434e-05,-4.616228691580479e-06,-0.013921497389674187,-1.7115935339552107e-06,-7.804943630753716e-06,-1.2694422873322583e-06,-0.000164328580350991,-8.122937871995428e-06,0.005373601587915968,-0.0003066536698595757,0.0024911342188715935,0.041650078259408474,0.2612392818555236,3.743918870533272e-12
SRGDP,-0.14498725603334606,-0.2073053823551163,-0.026731937541626394,-0.2604224430397153,-0.013493519159965217,-0.12157417461276054,2.1056606364436448,-0.00838092330377549,-0.00035362737253308296,-0.00024487439077347517,-2.348700322860573e-05,-1.629325803255078e-05,-1.4487369080776918e-06,1.1425102039534586e-05,-0.02271652384661138,-1.711596675292628e-06,-7.804956932641712e-06,-1.2694503118474196e-06,-0.00016432906893297972,-8.123028892535217e-06,-0.0003458347458243238,0.0007641385814256026,-0.01075040188152343,-0.03402347723022103,-0.15899203636217862,2.5017666830771144e-12
JUPCOST,-7.7826626459136605,1.4689171267673373,0.155039987526834,1.36484351195395,0.2053171843290329,1.434956488199532,3.72766350582242,0.4281814992427826,0.0005998238921165466,-3.917371858842671,-5.792031135443246e-06,9.019212613244955e-06,-1.643091021296046e-06,2.5765669799552663e-05,-15.303760262206197,7.875891508791011e-06,1.9487539615053884e-10,1.138138405370382e-10,6.75738881068898e-09,1.3966944898773626e-09,3.064604185607252e-08,5.737553146759335e-09,-22.110456051304936,1.4532236522063613,24.828596639446914,-3.995376108106402e-11
SDOMTFLOW,-0.0005883965641260147,0.004786411300301552,0.0009809322655200958,0.005683775991201401,0.0003643874078989029,0.0012591984122991562,0.017646096646785736,-0.003265274688601494,3.513321280479431e-05,1.8855556845664978e-05,6.201886384633784e-07,-7.707597795290939e-07,-4.5561819390664687e-07,-2.067579147891922e-07,-0.007785981521010399,-3.300182403823205e-11,-1.5239693901210678e-10,-8.900498091435796e-11,-5.284429901392731e-09,-1.0922464774771286e-09,-2.39658934065466e-08,-4.486895494544379e-09,-0.007000066339969635,-0.003467261791229248,0.001973062753677368,-1.4808037323750998e-11
SDOMTFLOW,-0.0005884487181901932,0.0047863926738500595,0.0009809546172618866,0.005683761090040207,0.0003643631935119629,0.001259172335267067,0.017646079882979393,-0.0032652616500854492,3.53492796421051e-05,1.8846243619918823e-05,6.201886384633784e-07,-7.955696436770262e-07,-4.590568217851876e-07,-2.0880502285641193e-07,-0.0077860429883003235,-3.33432222179379e-11,-1.5572514802501485e-10,-9.094876785386693e-11,-5.399836991193262e-09,-1.116100136180652e-09,-2.4489286480942446e-08,-4.584885166264313e-09,-0.007000043988227844,-0.003467254340648651,0.001973060891032219,-1.5106060716430263e-11
SDOMTFLOW,0.00038029812276363373,-0.00527461152523756,0.00015261489897966385,0.000832652673125267,5.3268857300281525e-05,-5.313381552696228e-05,-0.004356686025857925,0.0014724191278219223,-0.00011476781219244003,4.589837044477463e-05,6.412219773906625e-06,5.310964918600688e-06,1.416714685958781e-06,1.4112251238395978e-06,0.0031939921900629997,5.2708085633475216e-11,2.408572311972952e-10,1.4215220802356366e-10,8.439902698833561e-09,1.7444557246603105e-09,3.827656194068563e-08,7.16613941341312e-09,0.004517379216849804,0.00149481650441885,-0.0006254203617572784,3.936702752672671e-11
SDOMTFLOW,0.00038031116127967834,-0.0052746012806892395,0.0001526065170764923,0.0008326433598995209,5.329027771949768e-05,-5.3122639656066895e-05,-0.004356700927019119,0.0014724358916282654,-0.00011476874351501465,4.5903027057647705e-05,6.418116971736705e-06,5.319234873316665e-06,1.416714685958781e-06,1.4155752284824397e-06,0.003194022923707962,5.2044255839602735e-11,2.410324000927114e-10,1.4199875115991822e-10,8.430791612796679e-09,1.7425725410784533e-09,3.8565805481799127e-08,7.158403386698388e-09,0.004517421126365662,0.0014948472380638123,-0.0006254054605960846,3.937634075774794e-11
SDOMTFLOW,0.0003012828528881073,0.001018701121211052,-0.0035614175722002983,0.0001481836661696434,9.044446051120758e-05,-0.00010042823851108551,-0.003338981419801712,0.0021486766636371613,9.743403643369675e-05,-0.00031243637204170227,-6.149303037315573e-06,-7.195687598371939e-06,-2.2319560454961462e-06,-1.48824756486874e-06,0.00468186940997839,4.479902780362305e-11,2.0687446548654957e-10,1.2005441965861962e-10,7.1734617397066835e-09,1.482693206782171e-09,3.253301162428912e-08,6.090831700065415e-09,0.014540521427989006,0.0018583089113235474,-0.0025974344462156296,-5.7509201556076995e-11
SDOMTFLOW,0.0003013014793395996,0.0010187029838562012,-0.0035614147782325745,0.00014819949865341187,9.044259786605835e-05,-0.00010040402412414551,-0.0033389627933502197,0.0021487101912498474,9.745359420776367e-05,-0.0003124549984931946,-6.14094867372296e-06,-7.1783206934683854e-06,-2.2259384467087e-06,-1.4862004568015202e-06,0.004681885242462158,4.5216292245485756e-11,2.088013233361279e-10,1.2194705431024678e-10,7.240276370643833e-09,1.4965032197157899e-09,3.28360286673604e-08,6.147562562640114e-09,0.014540553092956543,0.001858338713645935,-0.002597406506538391,-5.74440089389284e-11
SDOMTFLOW,8.691102266311646e-05,0.000582035630941391,-0.00017525255680084229,-0.022489085793495178,7.904320955276489e-05,-0.00010569766163825989,-0.004311006516218185,0.0008904635906219482,4.746392369270325e-05,2.178177237510681e-05,-2.240542028908268e-05,-7.545506682857782e-06,-1.5393590802934006e-06,-1.0327660199123512e-06,0.002417992800474167,-9.073604953959893e-11,-4.179529844630883e-10,-2.440987177720208e-10,-1.449270085600351e-08,-2.995517350874056e-09,-6.572715134255194e-08,-1.2305439827566538e-08,-0.004590608179569244,0.0011138394474983215,-0.0002351030707359314,-8.653854264924169e-11
SDOMTFLOW,8.691847324371338e-05,0.0005820393562316895,-0.00017521530389785767,-0.022489070892333984,7.900595664978027e-05,-0.00010566413402557373,-0.00431099534034729,0.000890485942363739,4.746764898300171e-05,2.177804708480835e-05,-2.2401488823862628e-05,-7.568662556062519e-06,-1.5267507780720845e-06,-1.0358366820131809e-06,0.0024179816246032715,-9.012911944234409e-11,-4.126979176006018e-10,-2.4102958049911187e-10,-1.431047913526583e-08,-2.9779409707767227e-09,-6.534149328773395e-08,-1.2233236911562376e-08,-0.004590623080730438,0.0011138468980789185,-0.0002351030707359314,-8.627777218064733e-11
SDOMTFLOW,0.0001974925398826599,0.0003116074949502945,0.00017656758427619934,-0.0009039882570505142,-0.007868168875575066,-0.0002268124371767044,-0.00483161024749279,0.0005691461265087128,3.0392780900001526e-05,3.781169652938843e-05,1.3230363331783734e-05,-2.5355681159186717e-05,-1.986380704503696e-06,1.3603033106675071e-06,0.0010876655578613281,2.023732543034115e-10,9.345260570455053e-10,5.465110437293106e-10,3.2405096004517494e-08,6.706644462853817e-09,1.4715609491697923e-07,2.7550569806731118e-08,-0.009344080463051796,0.0005684923380613327,4.404596984386444e-05,-8.419160843189247e-11
SDOMTFLOW,0.0001974441111087799,0.00031152740120887756,0.00017653033137321472,-0.0009040497243404388,-0.007868219166994095,-0.00022686272859573364,-0.004831664264202118,0.0005691498517990112,3.0357390642166138e-05,3.7789344787597656e-05,1.3219551802428588e-05,-2.5385452996164236e-05,-2.0001352160178584e-06,1.3490442162977986e-06,0.001087639480829239,2.014249260264508e-10,9.325991991959271e-10,5.432372973048745e-10,3.233828137358034e-08,6.6589371454467695e-09,1.4666024884649896e-07,2.7385534570150174e-08,-0.009344086050987244,0.0005684718489646912,4.40254807472229e-05,-8.489941398950572e-11
SDOMTFLOW,8.736178278923035e-05,-0.00011031702160835266,-3.563612699508667e-05,-0.0019440986216068268,-4.284083843231201e-06,-0.012871984392404556,-0.005040604621171951,0.0010063350200653076,5.0164759159088135e-05,1.9341707229614258e-05,2.636047430045611e-06,2.371823012542319e-06,-8.699728532708049e-07,3.428906012593039e-07,0.0028200335800647736,-6.911416482489517e-11,-3.181067140758459e-10,-1.8517128213217002e-10,-1.0994043817840049e-08,-2.2723748554409227e-09,-4.9860077087183155e-08,-9.365749675968496e-09,-0.0039726607501506805,0.0011940784752368927,-0.0008486099541187286,6.97374738869481e-11
SDOMTFLOW,8.736923336982727e-05,-0.0001103132963180542,-3.5624951124191284e-05,-0.0019440986216068268,-4.3101608753204346e-06,-0.012871943414211273,-0.005040593445301056,0.0010063350200653076,5.0164759159088135e-05,1.9319355487823486e-05,2.645876093095744e-06,2.3552831031103645e-06,-8.676804346851111e-07,3.521025875617927e-07,0.0028200894594192505,-6.843136846548347e-11,-3.1320198500419186e-10,-1.8292058146537015e-10,-1.0860414555965749e-08,-2.2447548295736847e-09,-4.9254043001040596e-08,-9.221343843960172e-09,-0.003972694277763367,0.0011940933763980865,-0.0008485652506351471,7.014725605188209e-11
SDOMTFLOW,7.656030356884003e-05,0.00022968091070652008,-4.8061832785606384e-05,-0.00044302642345428467,2.289004623889923e-05,-0.00021938420832157135,-0.01236012764275074,0.0009061563760042191,4.31891530752182e-05,2.0459294319152832e-05,-5.248506068770904e-07,1.0138964481788296e-06,2.8712542785815103e-07,-7.95813261131668e-07,0.0025983769446611404,-2.2494346729507594e-11,-1.0387515498181531e-10,-6.06666134278325e-11,-3.6019160132481485e-09,-7.444852426941807e-10,-1.6335373321933487e-08,-3.0222077698885124e-09,0.0001264382153749466,0.0011355802416801453,-0.0005162600427865982,1.657755121778414e-11
SDOMTFLOW,7.658079266548157e-05,0.00022968649864196777,-4.8074871301651e-05,-0.00044307485222816467,2.2858381271362305e-05,-0.00021937116980552673,-0.012360114604234695,0.0009061247110366821,4.32133674621582e-05,2.041459083557129e-05,-5.327135373171966e-07,9.857786021445064e-07,2.8196748604033996e-07,-7.953014841148631e-07,0.002598382532596588,-2.306334369568401e-11,-1.0545167504056124e-10,-6.158735460970516e-11,-3.6565825294694527e-09,-7.557843441853234e-10,-1.6583296357173623e-08,-3.1356694950379106e-09,0.00012646988034248352,0.0011355653405189514,-0.0005162842571735382,1.691282753454831e-11
SINNOVPATEU,2.155676461290568,-0.7367285577347502,1.5537483065854758,2.80445302661974,0.44887396274134517,3.208276513614692,6.145065878517926,-0.03424444422125816,-2.7935120234033093,-0.0013550459407269955,-1.618860662244151e-05,-4.542582751052437e-06,-1.0308361637137885e-06,-1.2780319566097595e-05,-65.58612098428421,7.650638374380376e-12,3.53293765942578e-11,2.0633554124327092e-11,1.2250614433760303e-09,2.53209725777205e-10,5.555886352221687e-09,1.0401732586849648e-09,-65.56511820212472,-2.725061849458143,7.800059038330801,-9.010551013037164e-13
