,tau_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ROW,pop_weighted,negishi
13,0.76,-0.03556842010089389,-0.042212988445255596,-0.04910676587495766,0.12051549062721276,-0.03696705298464478,-0.03851963654815736,-0.04208255470523954,-0.056468863188250756,-0.039810213572438774,-0.03773669139875856,-0.0386487040554606,-0.01925723776275421,-0.005767982158972969
14,0.78,-0.03466088107124608,-0.040611645788692335,-0.046855475170926905,0.12047038651899943,-0.0356893503832314,-0.037206852661321545,-0.04059767213360098,-0.05447427775450251,-0.038637231849280376,-0.03662868076247212,-0.037531750120286096,-0.018348508876080815,-0.004589282341773686
15,0.8,-0.0332487907104616,-0.03912644506098417,-0.04477614639553221,0.11966770216689704,-0.03450570473824046,-0.03597402367175725,-0.03914813160552832,-0.052528465764042624,-0.03752542581922749,-0.03553159876533733,-0.03647049431578777,-0.017567731961378962,-0.0035596123235155978
16,0.8200000000000001,-0.03186134171314293,-0.03765266801882847,-0.042758603833932714,0.11872600712438215,-0.03331204385587341,-0.03472216323485263,-0.03766940399001442,-0.0505437091232329,-0.036371812674920435,-0.03439985956562427,-0.03535261299736617,-0.0167539520972813,-0.002570761440193759
17,0.8400000000000001,-0.031442088533356546,-0.03685665310652311,-0.040921696369392545,0.12200112259299148,-0.03213977965995443,-0.03352930239989285,-0.036265372711991505,-0.048710291737129006,-0.03529401750851266,-0.03335100814358244,-0.03420669116554363,-0.01544627076749144,-0.0009937582260432442
18,0.86,-0.03044568533252674,-0.03517657994910282,-0.0388395637096999,0.12088949088935631,-0.03076182855330278,-0.032083983429031834,-0.03459229675456612,-0.046508952735620175,-0.033887143725868506,-0.03201422907167858,-0.032826257933171454,-0.014424927905202226,-6.498579160595847e-07
19,0.88,-0.029193280106973314,-0.03364167933046271,-0.03694494582807874,0.11946754968915711,-0.029506794197963572,-0.030756633143812374,-0.03303356601655361,-0.04445676320545892,-0.032589023621302546,-0.030754335384332518,-0.031551865129308604,-0.013520752217095323,0.0008760547641441186
20,0.9,-0.027882625787513843,-0.03219429616697798,-0.03517386885512909,0.11789796761972315,-0.028318964698860905,-0.029495422870688445,-0.031546202158709444,-0.0424972521073455,-0.03134371190365517,-0.029538850918107394,-0.0303265106686138,-0.01267234721585667,0.001673619143899709
21,0.9199999999999999,-0.02662609938219397,-0.030800761482240556,-0.033490594118478954,0.1162758733469499,-0.027168184428911328,-0.028271995568111715,-0.03010856759855086,-0.04060218586821893,-0.030121747878691808,-0.0283482217335998,-0.029121948415392892,-0.011845158135316839,0.0024162289046983127
22,0.94,-0.02577790536924179,-0.02935697808080563,-0.03178436833982095,0.1144391720644054,-0.025956339676882826,-0.02698912685631753,-0.028624338720151316,-0.037632984283593233,-0.02881991587529521,-0.02709728826130934,-0.02783975901371466,-0.01097564984301168,0.003089313467565849
