,tau_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ZAF,ROW,pop_weighted,negishi
10,0.7,-0.0003711286412327,-0.0003711785397442,-0.000402299039385,-0.0003169795949702,-0.0003112501403122,-0.0002859304902608,-0.0003417584978803,-0.0004053475017897,-0.0003517575548135,-0.0003185608822135,0.0497201629725888,-0.000285025081099,-3.359083675440546e-05,6.056160652565815e-05
11,0.72,-0.000361256449414,-0.0003655271507314,-0.0003937076052533,-0.0003127070507923,-0.0003071681707461,-0.00028159005065,-0.0003368039976608,-0.0003989854773824,-0.0003449251386795,-0.0003127206771991,0.0494842159157049,-0.0002840873098642,-3.3036710240507005e-05,6.066988103608434e-05
12,0.74,-0.0003537771021662,-0.0003593888787154,-0.0003829429986947,-0.0003083273907429,-0.0003029123670942,-0.0002822845990841,-0.0003302982957964,-0.0003909546789807,-0.0003396410303084,-0.0003091109442925,0.0492205127701012,-0.0002822005318688,-3.185125886751037e-05,6.200913713168992e-05
13,0.76,-0.0003447234335154,-0.0003544537997415,-0.0003734652056308,-0.0003044520361577,-0.000298078794804,-0.0002790580905756,-0.0003258228523715,-0.00038323850217,-0.000331523001837,-0.0003053580795911,0.0489259107459067,-0.0002793218818989,-3.0451986070301103e-05,6.110734323241269e-05
14,0.78,-0.0003365879756514,-0.0003479867513586,-0.0003642304530753,-0.0002995528441235,-0.0002926600594229,-0.0002766376203885,-0.0003205540830692,-0.000376301516898,-0.000325907251872,-0.0003009583554495,0.0485969478436946,-0.000278750606041,-2.734871669499547e-05,6.178988009401123e-05
15,0.8,-0.000327959341875,-0.000340855766651,-0.0003537518243412,-0.0002940574970057,-0.0002875241492306,-0.0002744499009462,-0.0003121169460853,-0.0003673662466645,-0.0003191829985577,-0.0002955296706649,0.048238087112868,-0.0002768119417543,-2.545226126958612e-05,6.214617353056042e-05
16,0.8200000000000001,-0.0003204538373542,-0.0003335201809678,-0.0003433903973691,-0.0002874024130268,-0.0002829074673931,-0.0002712854177852,-0.0003070668561448,-0.0003605528311673,-0.0003125937043956,-0.0002912678417184,0.0478466206599391,-0.0002729010122917,-2.40142915436281e-05,6.347007905242315e-05
17,0.8400000000000001,-0.0003116969529414,-0.0003268256646738,-0.0003352359540891,-0.0002823173090204,-0.0002766637857364,-0.0002690852251443,-0.0002990602900489,-0.0003518898919143,-0.0003067210835708,-0.0002858150762643,0.0474261687466803,-0.0002698979833434,-2.202549571714348e-05,6.423647353956878e-05
18,0.86,-0.000302361974608,-0.0003204704286021,-0.0003261610762842,-0.0002760241699697,-0.0002713112092588,-0.0002651726168198,-0.0002925864088113,-0.0003447799612229,-0.0002990137736287,-0.0002800544303919,0.0469778900981624,-0.0002662551488328,-1.9613698244071557e-05,6.636732791561401e-05
19,0.88,-0.0002944489279895,-0.0003129348159735,-0.0003159351313311,-0.0002717827343279,-0.0002652053539821,-0.0002614343560153,-0.0002859254238768,-0.0003361692046022,-0.0002927172815707,-0.0002741772243178,0.0465057902054144,-0.0002620537836366,-1.7455179378104335e-05,6.759297807480183e-05
20,0.9,-0.0002868533179533,-0.000306038007121,-0.0003088793886309,-0.0002660267804648,-0.0002598866896699,-0.0002580721953436,-0.0002788816431564,-0.0003275635390189,-0.0002863381064615,-0.0002695295456348,0.0460121525117287,-0.0002581908799549,-1.4974082013701908e-05,6.752740713750464e-05
21,0.92,-0.0002784541986072,-0.0002991172055653,-0.0002995777057703,-0.0002594863882444,-0.0002539499012945,-0.0002542413538922,-0.0002711519704233,-0.0003205980446811,-0.0002798956113791,-0.0002632745968673,0.0455014530001897,-0.0002544799358484,-1.2371336983370296e-05,6.949435703724232e-05
22,0.94,-0.0002712916175831,-0.0002921056202037,-0.000291756620462,-0.0002539931117276,-0.0002481280263441,-0.0002494634412233,-0.0002644784621259,-0.0003121862878517,-0.0002738236103144,-0.0002574807857206,0.0449761995346245,-0.0002488116737527,-1.0232406505951358e-05,7.036227757341868e-05
23,0.96,-0.0002641920145287,-0.0002849676953812,-0.0002828038399442,-0.0002488521136422,-0.0002430417436901,-0.0002450907021378,-0.00025810238027,-0.0003042621035351,-0.0002674549715031,-0.0002518038217556,0.0444413106836507,-0.0002444051790688,-7.67197881191779e-06,7.11701719753805e-05
24,0.98,-0.0002567573985081,-0.0002778456108422,-0.0002748654465427,-0.0002431271298988,-0.0002376461883786,-0.000240852974584,-0.0002504540946759,-0.0002962860943106,-0.0002607583853942,-0.0002464938815365,0.043898900503022,-0.0002396434150297,-6.173826813451866e-06,7.33027142170959e-05
25,1.0,-0.0002496739842436,-0.0002706579828777,-0.0002676958082821,-0.0002374684426892,-0.0002311043938434,-0.0002353867268562,-0.0002447352903645,-0.0002890911355639,-0.0002542579236309,-0.0002399854920211,0.0433528418110945,-0.0002341144911043,-3.3666733184929273e-06,7.469631115509894e-05
26,1.02,-0.0002428997925436,-0.0002639965095912,-0.0002599222701212,-0.0002317625579105,-0.0002261422932264,-0.0002306345690024,-0.0002382863938979,-0.0002817897260163,-0.0002478784429623,-0.000234183490224,0.0428047635804609,-0.0002290851944255,-1.528360935166841e-06,7.525471928827598e-05
27,1.04,-0.0002364839948226,-0.0002578823054535,-0.0002532485858197,-0.0002254239916917,-0.0002210993948655,-0.000226068584304,-0.0002310786972677,-0.0002748160859044,-0.000242562479521,-0.0002288929882578,0.0422578911866445,-0.0002240051596613,1.4502403378782309e-06,7.6950447611282e-05
28,1.06,-0.0002295740384113,-0.0002516451326556,-0.0002459571632633,-0.0002211525829286,-0.000216383847404,-0.0002215889278607,-0.000225120712458,-0.0002683860028516,-0.0002364879540896,-0.0002236329112493,0.0417145763647543,-0.0002192729242676,3.4513261417189943e-06,7.811222570355548e-05
29,1.08,-0.0002234696844204,-0.0002456082476291,-0.0002394661665533,-0.0002154645382183,-0.0002108439843655,-0.0002164937529701,-0.0002191254317482,-0.0002620480810517,-0.0002306910552635,-0.0002180390989647,0.0411760573813524,-0.000214054330524,5.6748399125885085e-06,7.926172439443047e-05
30,1.1,-0.0002174361057383,-0.0002392489789018,-0.0002333921379061,-0.0002110650956258,-0.0002054469276253,-0.0002115547001516,-0.000213465256044,-0.0002548113616356,-0.0002252597812272,-0.000212795645861,0.0406439895756083,-0.0002092933782612,8.021168992276736e-06,8.005936040332925e-05
