,tariff_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ROW,pop_weighted,negishi
25,3.333333333333333,-2.180162544387616e-05,-2.2127346120754057e-05,-2.456318551552493e-05,-2.0812826851196805e-05,-2.081771014601205e-05,-2.122104286352705e-05,-2.1659378372550648e-05,-2.5554359638782103e-05,-2.171408775161973e-05,-2.161441372865602e-05,9.653505727872968e-05,4.191069692277716e-05,-9.060245018562296e-07
26,3.466666666666667,-2.1587134153345623e-05,-2.1881352371027244e-05,-2.4318507154993003e-05,-2.057920267260299e-05,-2.05739857495992e-05,-2.096096769281244e-05,-2.14178944547706e-05,-2.5233147723339465e-05,-2.151841164755351e-05,-2.1395647215693973e-05,9.564511646219516e-05,4.1538624597774585e-05,-8.547905493215143e-07
27,3.6,-2.133630692035945e-05,-2.159091917617755e-05,-2.403349824195445e-05,-2.0363060070735795e-05,-2.035218087009369e-05,-2.074198973562157e-05,-2.1128890873421936e-05,-2.4939149397460463e-05,-2.127572676879168e-05,-2.1152047726855173e-05,9.481897848109342e-05,4.122463314408811e-05,-8.401352394943294e-07
28,3.733333333333333,-2.109016688924038e-05,-2.1407091806624914e-05,-2.3721436265101724e-05,-2.016796250895693e-05,-2.013089949256279e-05,-2.0490556556709907e-05,-2.089873365922391e-05,-2.460569042983456e-05,-2.108229872432752e-05,-2.08751692103546e-05,9.4092898953105e-05,4.0937433607666975e-05,-7.056030533114709e-07
29,3.866666666666666,-2.083705830884192e-05,-2.1159469823459185e-05,-2.3438198888396337e-05,-1.9921013222114543e-05,-1.990641933197484e-05,-2.026651834259737e-05,-2.066890777197881e-05,-2.433615257823948e-05,-2.0843928101614096e-05,-2.069520401328637e-05,9.331907707330716e-05,4.061703899498995e-05,-6.432079332293567e-07
30,4.0,-2.0583163259322235e-05,-2.089753025864108e-05,-2.315834737937821e-05,-1.971219614506151e-05,-1.970241727731944e-05,-2.003968009275855e-05,-2.04270652983851e-05,-2.4008857033285456e-05,-2.0586391863771293e-05,-2.044813961368611e-05,9.259173336589886e-05,4.0328690573966586e-05,-5.922372391369197e-07
31,4.133333333333333,-2.0344403254433152e-05,-2.065480110294068e-05,-2.287847239193082e-05,-1.948615413003053e-05,-1.9473254750372146e-05,-1.98473077328539e-05,-2.019549481237192e-05,-2.3717140207748955e-05,-2.038468098047393e-05,-2.028247587505613e-05,9.188291935337224e-05,4.0020091323157966e-05,-5.227869238847867e-07
32,4.266666666666667,-2.009911868580964e-05,-2.044224951372116e-05,-2.259596371313718e-05,-1.929445518740594e-05,-1.9258890748757585e-05,-1.96613491351014e-05,-2.0001445026475727e-05,-2.348621630340423e-05,-2.0148916317761025e-05,-2.004188208395381e-05,9.117529624484514e-05,3.96827894449724e-05,-4.970148763789815e-07
33,4.4,-1.986490904665681e-05,-2.0180945971104245e-05,-2.2349438873184128e-05,-1.904534577583536e-05,-1.9048249622048365e-05,-1.9397255977860017e-05,-1.973853980930064e-05,-2.3206374341600985e-05,-1.9925015580629773e-05,-1.982328858604215e-05,9.0480326101705e-05,3.947561625121699e-05,-4.4366120182251844e-07
34,4.533333333333333,-1.964420540306785e-05,-1.9936154019834203e-05,-2.206787683242401e-05,-1.888645002943082e-05,-1.8874814596155804e-05,-1.9200102917467503e-05,-1.951826288470708e-05,-2.2898361985982445e-05,-1.9700868982688847e-05,-1.960329591502473e-05,8.974549986841043e-05,3.9203500950182985e-05,-3.7155192532663524e-07
35,4.666666666666667,-1.946106407846163e-05,-1.968296092728574e-05,-2.1807800278055067e-05,-1.8649210340225296e-05,-1.861421621476224e-05,-1.8982859298155505e-05,-1.9283335828066485e-05,-2.2648022447453283e-05,-1.951511100024943e-05,-1.9366338433043418e-05,8.910623120634125e-05,3.89447741069187e-05,-3.029102904889212e-07
36,4.8,-1.917861625132896e-05,-1.9493000772081043e-05,-2.1541364637727184e-05,-1.843169819730217e-05,-1.845672936345573e-05,-1.877698873484558e-05,-1.910510145876456e-05,-2.238614513251524e-05,-1.9293433788344248e-05,-1.914518849539148e-05,8.846001172033288e-05,3.867415236606294e-05,-2.3142073092031339e-07
37,4.933333333333334,-1.900060006246772e-05,-1.9274119466786336e-05,-2.1256109390523527e-05,-1.823273306678701e-05,-1.8237954788886614e-05,-1.8556843687074457e-05,-1.886691909314633e-05,-2.209697312402265e-05,-1.911473622983173e-05,-1.8965990287048e-05,8.78136054701195e-05,3.847027647883528e-05,-1.968520791637629e-07
38,5.066666666666666,-1.876624603534434e-05,-1.9031066849115525e-05,-2.1008906975045028e-05,-1.8034599337746848e-05,-1.804025299303396e-05,-1.8365438887513275e-05,-1.8647489394663872e-05,-2.184066246892631e-05,-1.886850531447036e-05,-1.8764996406142093e-05,8.712310871055813e-05,3.817478921709645e-05,-1.1900017112495269e-07
39,5.2,-1.853295965774924e-05,-1.8834392001506667e-05,-2.0810724439418968e-05,-1.785975755049688e-05,-1.782856573626249e-05,-1.8151463372340264e-05,-1.8463183229736284e-05,-2.157756340906197e-05,-1.8679173156271743e-05,-1.8530129312710727e-05,8.654854077362847e-05,3.798650816283328e-05,-5.414147635528006e-08
40,5.333333333333333,-1.834403707579712e-05,-1.861393941107231e-05,-2.053163159535242e-05,-1.763941647531914e-05,-1.7669890974019247e-05,-1.796719217745527e-05,-1.822817200321807e-05,-2.134790110617065e-05,-1.845518768123636e-05,-1.83467108421422e-05,8.592809374293981e-05,3.773151878838631e-05,-3.765870143042819e-09
41,5.466666666666667,-1.8114057843240285e-05,-1.8379956924266133e-05,-2.0284605683189707e-05,-1.7446247873324258e-05,-1.7426866728544596e-05,-1.7726632773804247e-05,-1.804133933646047e-05,-2.109043591533649e-05,-1.8267356649620467e-05,-1.815164634970183e-05,8.53122274819707e-05,3.755436036325625e-05,7.309248669806548e-08
42,5.6,-1.7894768054057767e-05,-1.8172744988189484e-05,-2.001962097920432e-05,-1.7268997493440377e-05,-1.7228430503538307e-05,-1.7558891143207634e-05,-1.783429624262405e-05,-2.0815190103663043e-05,-1.8056061098107457e-05,-1.794316384026581e-05,8.477196853585657e-05,3.727677579708059e-05,1.5039107865266234e-07
43,5.733333333333333,-1.7710004416596695e-05,-1.7953370643162618e-05,-1.978395164299236e-05,-1.7059728624119004e-05,-1.7083764826290966e-05,-1.7360732908921046e-05,-1.762520100735632e-05,-2.058301085343897e-05,-1.7879923678789962e-05,-1.775685133286524e-05,8.421382569731337e-05,3.708482920946049e-05,2.15823232600638e-07
44,5.866666666666666,-1.7515676436073846e-05,-1.7767350290732646e-05,-1.956043269978513e-05,-1.6887947356446555e-05,-1.6851648765375435e-05,-1.7150442844444932e-05,-1.742940153958298e-05,-2.029330002082068e-05,-1.767466462515242e-05,-1.754445780066456e-05,8.364848859905759e-05,3.692838416247584e-05,2.673138020368473e-07
45,6.0,-1.731705657100839e-05,-1.7567372951533503e-05,-1.9326952952856204e-05,-1.6727179518451005e-05,-1.6681715353496042e-05,-1.6940704377408706e-05,-1.723792524878728e-05,-2.0089372916535624e-05,-1.7450284444513398e-05,-1.7362712830878716e-05,8.308741631669627e-05,3.665122896608599e-05,3.252694307888992e-07
46,6.133333333333333,-1.7105451889270862e-05,-1.7403204826716097e-05,-1.9101067305329305e-05,-1.6529525152812306e-05,-1.6503643112069652e-05,-1.675658067279291e-05,-1.7044440270588627e-05,-1.983294425028972e-05,-1.7274858427428527e-05,-1.7168168949303633e-05,8.26113059739496e-05,3.649316173732952e-05,3.933532198950669e-07
