,tau_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ZAF,ROW,pop_weighted,negishi
18,0.86,-0.082674702420549,0.1246221249746116,-0.0902448964405809,-0.0824388247134873,-0.0836575986250948,-0.083867492364589,-0.0884868315817593,-0.0996708415518918,-0.0820003277382692,-0.0854913942481397,-0.0837990183922521,-0.0880795859985008,-0.0816222090064626,-0.0436446383189754
19,0.88,-0.081480846839987,0.122349853348812,-0.0892277812745086,-0.0819374839492457,-0.0832950279579028,-0.0835621026418537,-0.0877497339801558,-0.0986014432447057,-0.08226326696282,-0.0851105339651858,-0.0835118062198721,-0.087675793847024,-0.0813110215568404,-0.0435017604636019
20,0.9,-0.0802975762428175,0.1200633607822172,-0.0882094680909547,-0.0813966746290937,-0.0828619102725169,-0.0831746921967772,-0.086950010523339,-0.097476457573062,-0.0823685175247728,-0.0846483850004941,-0.0831428133270111,-0.0871815185778576,-0.0809192151534972,-0.043333195195432
21,0.92,-0.0791204218070366,0.1177605821518654,-0.0871949487154525,-0.0808204974465632,-0.0823717478196893,-0.0827185164386824,-0.0861070236869111,-0.096331682258153,-0.0823382516656053,-0.0841193505202245,-0.0827028771331419,-0.0866210266695249,-0.0804610912736263,-0.043144871609851
22,0.94,-0.0779594318213538,0.1154700827958619,-0.0861898156803372,-0.0802189349697624,-0.0818344714416471,-0.0822075913105915,-0.085229311134216,-0.0951669895229099,-0.0821948205817066,-0.0835316172389671,-0.0822084623715118,-0.0859990996894752,-0.079949468383083,-0.0429400803387261
23,0.96,-0.0768176699982022,0.1131920307325017,-0.0851950721040603,-0.079598727302364,-0.0812607830099277,-0.0816492715658379,-0.0843313656075038,-0.0939937315839803,-0.0819522399831519,-0.0828997314303152,-0.0816664281340172,-0.0853352459355576,-0.079393526201331,-0.0427223026377645
24,0.98,-0.0756995564202077,0.1109378157000638,-0.0842144598929786,-0.078963692865232,-0.0806586793187818,-0.0810546730677719,-0.0834219084156014,-0.092820431180284,-0.0816290859810871,-0.0822330830616404,-0.0810911320800085,-0.0846357916498372,-0.0788053506597747,-0.0424967211458842
25,1.0,-0.0746041421169584,0.1087155216288305,-0.0832537861811145,-0.0783215176814582,-0.0800369725825183,-0.0804344701441552,-0.0825118288482899,-0.091654082763824,-0.0812405984518602,-0.0815420295390096,-0.0804898674378385,-0.0839117231192639,-0.0781916808727975,-0.0422656225453708
26,1.02,-0.0735412186592719,0.1065265821741879,-0.0823097069994619,-0.0776735525671658,-0.0794016441038681,-0.0797927121950617,-0.0816033483148798,-0.0905002634507482,-0.0807988019161614,-0.0808354640407714,-0.0798691978848469,-0.0831720308464618,-0.0775613192793941,-0.0420311134181122
27,1.04,-0.0725071524704638,0.1043848379821281,-0.0813874774454708,-0.0770269851793727,-0.0787580151459341,-0.079139648355613,-0.0807060493106173,-0.0893654608965109,-0.0803166747394477,-0.0801192804569087,-0.0792390211823349,-0.0824235728274956,-0.0769206449822078,-0.0417967871715349
28,1.06,-0.0715048835983939,0.1022845673834496,-0.0804885629229966,-0.0763827678491805,-0.0781130186839218,-0.0784814946019216,-0.0798227698192287,-0.0882534154043034,-0.0798034592916653,-0.0794006853273683,-0.0786028269521169,-0.0816725081453418,-0.0762739414598207,-0.041563152422607
29,1.08,-0.0705339571640244,0.1002379838898466,-0.0796148596901276,-0.0757459605895097,-0.0774698310459165,-0.0778214276367497,-0.078958916323798,-0.0871666119632106,-0.0792678095185181,-0.0786845801430442,-0.0779659321567263,-0.0809245654563858,-0.0756290708915619,-0.0413326437674797
30,1.1,-0.0695956311317853,0.0982397252781647,-0.0787669207580128,-0.0751191758369554,-0.0768314091252789,-0.0771649780552582,-0.0781162652320408,-0.086108944251425,-0.0787182106283446,-0.0779759840535396,-0.0773317956655407,-0.0801839405984184,-0.0749886693732272,-0.0411074085278962
31,1.12,-0.0686908679891447,0.0962908070997271,-0.0779468414061968,-0.0745042964945093,-0.0762020876394905,-0.0765162356359406,-0.0772979111478597,-0.0850809078951964,-0.0781596617929683,-0.0772784746288276,-0.0767055966961,-0.079454484248965,-0.0743556991796207,-0.0408883074476769
32,1.14,-0.0678184991596889,0.0943933503381861,-0.0771521772324408,-0.0739018969634945,-0.0755834697561585,-0.075877007286018,-0.0765047085008628,-0.0840846949335095,-0.0775983859298318,-0.0765945851251019,-0.0760898168683398,-0.0787389759362768,-0.073733769517125,-0.040676158547059
33,1.16,-0.0669792713979344,0.0925485268032597,-0.0763865096112329,-0.0733143082513516,-0.0749773010367699,-0.0752504503998887,-0.0757381406933712,-0.0831210120276374,-0.0770371691701305,-0.0759269373618173,-0.0754842052125197,-0.0780383392731363,-0.0731244432090112,-0.0404716733082151
34,1.1800000000000002,-0.0661730169244184,0.0907509777328957,-0.0756474678030794,-0.0727415022529024,-0.074385953262827,-0.074639186945971,-0.0749976171476092,-0.0821912208484203,-0.0764808291654169,-0.0752772928816058,-0.0748932231125231,-0.0773549863715278,-0.0725297773963734,-0.0402759586390094
35,1.2000000000000002,-0.0653979110455581,0.0890036170593884,-0.0749359773979924,-0.0721868620471153,-0.0738103022852534,-0.0740431155080916,-0.0742852690831654,-0.081293092217888,-0.0759310637856937,-0.0746466928046663,-0.0743167899574087,-0.0766909797402571,-0.0719515288616332,-0.0400895087963311
36,1.22,-0.0646533210166155,0.0873044093531621,-0.0742512189379612,-0.0716496410647277,-0.0732510048572859,-0.0734640256503223,-0.073599820826243,-0.0804277450389589,-0.0753914767113503,-0.074035945107297,-0.0737558626981076,-0.0760472611607467,-0.0713898551375279,-0.0399130577023822
37,1.24,-0.0639396226059885,0.0856514684928785,-0.0735939917188207,-0.0711301259274052,-0.0727078083406705,-0.0729027043952562,-0.0729410009802245,-0.0795941201420876,-0.0748628684197531,-0.0734460427935134,-0.07321219398591,-0.0754233181216451,-0.0708453071076648,-0.0397456166935629
38,1.26,-0.0632545588545704,0.0840436424862337,-0.0729619091057549,-0.0706277845763555,-0.0721819899120796,-0.0723593263036886,-0.0723086844892299,-0.0787924802269995,-0.0743454772588387,-0.0728757860583947,-0.0726844561267667,-0.0748203024905683,-0.0703191280690276,-0.0395882563803039
