origin_code,destination_code,sectors,patent flows
3.0,3.0,2.0,78572.44985171281
3.0,4.0,1.0,26501.119082859645
3.0,4.0,2.0,6602.133687187991
3.0,5.0,1.0,1776.8585373281728
3.0,5.0,2.0,678.3090369460497
3.0,6.0,1.0,3279.7899923580303
3.0,6.0,2.0,865.4160233235003
3.0,7.0,1.0,1127.2586272228739
3.0,7.0,2.0,681.4272770726099
3.0,8.0,1.0,10078.63844712925
3.0,8.0,2.0,3878.142627245901
3.0,9.0,1.0,1242.0400919701567
3.0,9.0,2.0,431.3726739389772
3.0,10.0,1.0,530.3982428144504
3.0,10.0,2.0,293.99746394049026
3.0,11.0,1.0,117.15946329241126
3.0,11.0,2.0,122.1172752388937
3.0,12.0,1.0,410.4242214708526
3.0,12.0,2.0,222.00253438982827
4.0,1.0,1.0,7080.4963858337405
4.0,1.0,2.0,1188.867622169669
4.0,2.0,1.0,1475.4602300418162
4.0,2.0,2.0,297.214595146758
4.0,3.0,1.0,1348.1449502359098
4.0,3.0,2.0,423.4467160657446
4.0,4.0,1.0,198242.8659654297
4.0,4.0,2.0,75540.71900964709
4.0,5.0,1.0,477.794294391844
4.0,5.0,2.0,145.86568514386184
4.0,6.0,1.0,531.2840842495691
4.0,6.0,2.0,202.53907611949649
4.0,7.0,1.0,318.4001880980161
4.0,7.0,2.0,170.54002702965957
4.0,8.0,1.0,794.0019898770839
4.0,8.0,2.0,248.01548374593912
4.0,9.0,1.0,374.8620916880459
4.0,9.0,2.0,111.25786197179612
4.0,10.0,1.0,146.0243407879665
4.0,10.0,2.0,67.40493381613048
4.0,11.0,1.0,86.79434333116656
4.0,11.0,2.0,50.44762376045721
4.0,12.0,1.0,81.20378373658615
4.0,12.0,2.0,35.34758476904161
5.0,1.0,1.0,234.34219544095876
5.0,1.0,2.0,92.20257156101887
5.0,2.0,1.0,66.60310785736095
5.0,2.0,2.0,32.84626288454539
5.0,3.0,1.0,55.07961144860433
5.0,3.0,2.0,22.77489551644805
5.0,4.0,1.0,93.10925986466026
5.0,4.0,2.0,32.61532917691809
5.0,5.0,1.0,2309.4622499632987
5.0,5.0,2.0,1587.3508087539624
5.0,6.0,1.0,40.92528296831252
5.0,6.0,2.0,27.49237375898071
5.0,7.0,1.0,33.300530397873054
5.0,7.0,2.0,19.222965653649933
5.0,8.0,1.0,43.81167992843847
5.0,8.0,2.0,13.871885212510227
5.0,9.0,1.0,22.441778133434628
5.0,9.0,2.0,10.7257622709917
5.0,10.0,1.0,50.25386557886787
5.0,10.0,2.0,25.125104642444015
5.0,11.0,1.0,14.64513808961136
5.0,11.0,2.0,8.101944032081384
5.0,12.0,1.0,7.38530367105069
5.0,12.0,2.0,4.068308160519739
6.0,1.0,1.0,1476.7395396762506
6.0,1.0,2.0,525.1055720855829
6.0,2.0,1.0,176.6238903885237
6.0,2.0,2.0,186.1183916364262
6.0,3.0,1.0,161.5281426483401
6.0,3.0,2.0,156.38904778010706
6.0,4.0,1.0,294.2242227825136
6.0,4.0,2.0,186.70919511164516
6.0,5.0,1.0,70.43153349534936
6.0,5.0,2.0,113.00909536121003
6.0,6.0,1.0,4327.901761263433
6.0,6.0,2.0,4083.9209683306763
6.0,7.0,1.0,71.61081758124534
6.0,7.0,2.0,139.90533305732666
6.0,8.0,1.0,99.87674197759567
6.0,8.0,2.0,92.45312414623504
6.0,9.0,1.0,34.7199550331295
6.0,9.0,2.0,66.68805001028254
6.0,10.0,1.0,34.00621834266054
