variation,country,fixed fe / fo,target UUPCOST,target number of patents,delta baseline,delta 2005,delta 2005/baseline,delta 1992,static welfare change,dynamic welfare change,"static welfare change, fixed delta north","dynamic welfare change, fixed delta north"
8,BRA,Y,N,No,0.1036,0.1023,0.9875,0.1004,1.0025,1.0033,0.9988,0.9991
8,IND,Y,N,No,0.1828,0.1796,0.9822,0.3595,1.0098,1.0094,1.0057,1.005
8,ROW,Y,N,No,0.7542,0.7225,0.9579,0.6177,1.0043,1.0043,0.9994,0.9994
9,USA,Y,N,All,0.0698,0.0697,0.9993,0.0687,0.9994,0.9991,0.9996,0.9996
9,EUR,Y,N,All,0.0721,0.0723,1.0019,0.0628,0.9926,0.9947,0.9996,0.9995
9,JAP,Y,N,All,0.0565,0.0535,0.9472,0.0809,1.0135,1.0097,0.9993,0.9994
9,CHN,Y,N,All,0.0999,0.0959,0.9601,0.1768,1.015,1.0119,1.0153,1.0122
9,BRA,Y,N,All,0.1036,0.1021,0.9854,0.1219,1.004,1.0027,1.0042,1.003
9,IND,Y,N,All,0.1828,0.1792,0.9805,0.4017,1.0058,1.005,1.006,1.0053
9,ROW,Y,N,All,0.7542,0.7214,0.9565,0.7074,0.9992,0.9991,0.9994,0.9994
10,USA,Y,N,Inter. pats,0.0698,0.0702,1.0064,0.0632,0.9949,0.9941,0.9994,0.9993
10,EUR,Y,N,Inter. pats,0.0721,0.0737,1.0225,0.0982,1.0079,1.0042,0.9993,0.9992
10,JAP,Y,N,Inter. pats,0.0565,0.0584,1.0341,0.1771,1.0259,1.0217,0.9989,0.999
10,CHN,Y,N,Inter. pats,0.0999,0.1066,1.0669,0.2794,1.0169,1.0135,1.0207,1.0178
10,BRA,Y,N,Inter. pats,0.1036,0.1078,1.041,0.2006,1.0095,1.0063,1.0128,1.0103
10,IND,Y,N,Inter. pats,0.1828,0.188,1.0282,0.5539,1.0032,1.002,1.0066,1.006
10,ROW,Y,N,Inter. pats,0.7542,0.7515,0.9963,1.0716,0.9954,0.9951,0.9996,0.9995
