origin_code,destination_code,sector,trade
8.0,6.0,0,2829.2654273333333
8.0,6.0,1,18743.63810533333
8.0,7.0,0,817.1199986666667
8.0,7.0,1,7040.745735666666
8.0,8.0,0,1508328.5185629998
8.0,8.0,1,1248599.672425
8.0,9.0,0,1206.482374
8.0,9.0,1,6903.903724666667
8.0,10.0,0,963.8162286666667
8.0,10.0,1,10476.889578333334
8.0,11.0,0,1299.3599326666665
8.0,11.0,1,14683.202244
8.0,12.0,0,1409.6303823333335
8.0,12.0,1,8674.390091333335
8.0,13.0,0,15423.733608333334
8.0,13.0,1,82606.45081533334
9.0,1.0,0,6447.867982666667
9.0,1.0,1,14890.802088333332
9.0,2.0,0,108223.338447
9.0,2.0,1,73732.851272
9.0,3.0,0,8299.592933666667
9.0,3.0,1,6440.181522666666
9.0,4.0,0,25677.301162333333
9.0,4.0,1,14028.804880333335
9.0,5.0,0,749.1762206666667
9.0,5.0,1,1846.83504
9.0,6.0,0,2421.247793666667
9.0,6.0,1,3232.6315140000006
9.0,7.0,0,581.055428
9.0,7.0,1,898.0227189999999
9.0,8.0,0,6305.876988666667
9.0,8.0,1,5181.818715
9.0,9.0,0,1520486.929374667
9.0,9.0,1,610812.747235
9.0,10.0,0,186.58234866666666
9.0,10.0,1,150.36399066666667
9.0,11.0,0,205.49270966666666
9.0,11.0,1,743.3813646666667
9.0,12.0,0,673.294837
9.0,12.0,1,1057.0226833333334
9.0,13.0,0,13719.188144666667
9.0,13.0,1,17863.706516000002
10.0,1.0,0,7415.609265666667
10.0,1.0,1,8174.017793999999
10.0,2.0,0,12509.514430333335
10.0,2.0,1,7002.741095666667
10.0,3.0,0,27874.471958666665
10.0,3.0,1,6468.440197666667
10.0,4.0,0,81843.54955899999
10.0,4.0,1,23608.83356833333
10.0,5.0,0,1348.7443526666666
10.0,5.0,1,303.3223443333334
10.0,6.0,0,9249.293794333333
10.0,6.0,1,1767.491867
10.0,7.0,0,990.9988146666668
10.0,7.0,1,1075.0704733333332
10.0,8.0,0,13335.803060999999
10.0,8.0,1,4522.830551333333
10.0,9.0,0,242.38593966666664
10.0,9.0,1,278.4731656666667
10.0,10.0,0,1771394.7150039999
10.0,10.0,1,446880.0614943334
10.0,11.0,0,167.3979633333333
10.0,11.0,1,199.98144766666667
10.0,12.0,0,4370.165695666667
10.0,12.0,1,2278.9855900000002
10.0,13.0,0,19040.453063333334
10.0,13.0,1,18359.762635333333
11.0,1.0,0,67712.871099
11.0,1.0,1,227761.31026133336
11.0,2.0,0,9842.859729999998
11.0,2.0,1,14303.428190999999
11.0,3.0,0,2042.052832
11.0,3.0,1,2815.652908666667
11.0,4.0,0,3909.952264333333
11.0,4.0,1,6775.289851
11.0,5.0,0,967.4235826666667
11.0,5.0,1,4106.7348213333335
11.0,6.0,0,2108.886629
11.0,6.0,1,1115.8766946666667
11.0,7.0,0,5713.743978666668
11.0,7.0,1,20377.751592999997
11.0,8.0,0,1921.5012916666667
11.0,8.0,1,1768.7282136666665
11.0,9.0,0,192.332056
11.0,9.0,1,633.9265373333334
11.0,10.0,0,1163.1254150000002
11.0,10.0,1,1593.4164806666668
11.0,11.0,0,1036794.9566316666
11.0,11.0,1,456798.3904756666
11.0,12.0,0,79.33155166666667
11.0,12.0,1,217.71546566666666
11.0,13.0,0,4244.363353
11.0,13.0,1,13312.588584333333
12.0,1.0,0,6322.907127666666
12.0,1.0,1,14069.708311333336
12.0,2.0,0,6518.376845
12.0,2.0,1,13207.313334999999
12.0,3.0,0,11742.953250666667
12.0,3.0,1,10710.964138666668
12.0,4.0,0,13694.401599666666
12.0,4.0,1,13348.954707333332
12.0,5.0,0,471.12442166666665
12.0,5.0,1,1064.8072120000002
12.0,6.0,0,10432.527658666668
12.0,6.0,1,9672.023921333333
12.0,7.0,0,458.721499
12.0,7.0,1,979.454455
12.0,8.0,0,6445.857117333333
12.0,8.0,1,4532.479664
12.0,9.0,0,552.854498
12.0,9.0,1,1702.2273096666668
12.0,10.0,0,2437.602621
12.0,10.0,1,2881.038582333333
12.0,11.0,0,257.0219683333333
12.0,11.0,1,1026.2238556666666
12.0,12.0,0,1029358.9187873333
12.0,12.0,1,510398.1292166666
12.0,13.0,0,16035.629689
12.0,13.0,1,22047.043230333336
13.0,1.0,0,118574.815059
13.0,1.0,1,159624.20269266664
13.0,2.0,0,195308.60149833336
13.0,2.0,1,178043.9335416667
13.0,3.0,0,67464.34581099999
13.0,3.0,1,70718.903817
13.0,4.0,0,209243.519314
13.0,4.0,1,160994.34253266666
13.0,5.0,0,11988.387857
13.0,5.0,1,19063.149856333333
13.0,6.0,0,56373.21787433333
13.0,6.0,1,40568.19047533333
13.0,7.0,0,11868.066633333334
13.0,7.0,1,15696.462206666665
13.0,8.0,0,45462.358244333336
13.0,8.0,1,38842.33448766667
13.0,9.0,0,9757.157465666665
13.0,9.0,1,10205.350541
13.0,10.0,0,25021.289766
13.0,10.0,1,33628.296442666666
13.0,11.0,0,5248.220829999999
13.0,11.0,1,19251.972341999997
13.0,12.0,0,22167.651879666668
13.0,12.0,1,36105.945763
13.0,13.0,0,5616086.932994001
13.0,13.0,1,2526334.4941766667
