,nu_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ROW,pop_weighted,negishi
31,1.12,-0.0350938630474644,-0.0429497005384562,0.1305678092437417,-0.0419473190903956,-0.0424200233805695,-0.0430963824676695,-0.0427174802915948,-0.0464274697361543,-0.0435937941254822,-0.0433880020101711,-0.0447083353255518,-0.043241041937729,-0.0330755160405145
32,1.14,-0.035521561498536,-0.0434344691516095,0.1306847214582727,-0.0424448230236774,-0.0429344304959131,-0.0436095886770347,-0.0431986068593551,-0.0468901318912802,-0.044112171615648,-0.0438999943321623,-0.0452271490203196,-0.0437524026983835,-0.0335384638353732
33,1.16,-0.0359483767361741,-0.0439169255348573,0.1307844989986444,-0.0429404596284553,-0.0434463198679403,-0.0441202047711674,-0.0436780762759715,-0.0473516910842526,-0.0446278628127797,-0.0444102357128149,-0.0457436994600047,-0.0442617059904915,-0.0340004508915465
34,1.1800000000000002,-0.0363743091240605,-0.0443975709905199,0.1308716563113948,-0.0434340725808356,-0.0439575696338617,-0.0446307732282313,-0.0441559913936875,-0.047810887505049,-0.0451424161458241,-0.0449185297519219,-0.0462589673122549,-0.0447690269689358,-0.0344613321570412
35,1.2000000000000002,-0.0367990905651615,-0.0448767439250039,0.1309455583969435,-0.0439261613574532,-0.0444657010744705,-0.0451378494649827,-0.0446322484549167,-0.0482683159141803,-0.0456546504038181,-0.0454245829116182,-0.0467730410634865,-0.0452743154952013,-0.0349208357523749
36,1.22,-0.0372230364059433,-0.0453539968347182,0.1310024075598617,-0.0444157449214933,-0.0449724397189299,-0.0456436565422099,-0.0451070331290673,-0.0487247694529706,-0.0461650570929532,-0.0459280041728479,-0.0472840584166323,-0.0457777329833851,-0.0353800415076735
37,1.24,-0.0376460187584301,-0.04582943437554,0.1310507000867244,-0.0449038182294187,-0.0454764679083994,-0.0461474641087348,-0.0455797225972726,-0.0491791716640544,-0.0466730532465789,-0.0464303527065505,-0.0477934456735908,-0.0462796937176633,-0.0358373455646812
38,1.26,-0.0380680132839181,-0.0463028178266207,0.1310867932524595,-0.0453889870618064,-0.0459785114470817,-0.0466485379755221,-0.0460505655680334,-0.0496320420930619,-0.047179124252546,-0.0469309004493077,-0.0483006117861151,-0.0467797331701242,-0.036293719920775
39,1.28,-0.0384888452727084,-0.0467743274834055,0.1311114272803787,-0.0458729636881495,-0.0464785225809343,-0.0471482007753139,-0.0465197269712628,-0.0500827430462114,-0.0476831626932783,-0.0474284333596086,-0.048805725342653,-0.0472765436339835,-0.0367485043785579
40,1.3,-0.0389083350343727,-0.0472446969353977,0.131125045982629,-0.046354382265169,-0.0469772914971631,-0.0476461338308591,-0.04698665349768,-0.0505324388431264,-0.0481852157685084,-0.0479241600052659,-0.0493097314812903,-0.047772978235334,-0.0372026177354267
