,baseline,variation,lambda,USA,EUR,JAP,CHN,BRA,IND,ROW
199,501,2.0,0.199,0.01,0.01,0.01,12.0,12.0,12.0,12.0
200,501,2.0,0.2,0.01,0.01,0.01,12.0,12.0,12.0,12.0
201,501,2.0,0.201,0.01,0.01,0.01,12.0,12.0,12.0,12.0
202,501,2.0,0.202,0.01,0.01,0.01,12.0,12.0,12.0,12.0
203,501,2.0,0.203,0.01,0.01,0.01,12.0,12.0,12.0,12.0
204,501,2.0,0.204,0.01,0.01,0.01,12.0,12.0,12.0,12.0
205,501,2.0,0.205,0.01,0.01,0.01,12.0,12.0,12.0,12.0
206,501,2.0,0.206,0.01,0.01,0.01,12.0,12.0,12.0,12.0
207,501,2.0,0.207,0.01,0.01,0.01,12.0,12.0,12.0,12.0
208,501,2.0,0.208,0.01,0.01,0.01,12.0,12.0,12.0,12.0
209,501,2.0,0.209,0.01,0.01,0.01,12.0,12.0,12.0,12.0
210,501,2.0,0.21,0.01,0.01,0.01,12.0,12.0,12.0,12.0
211,501,2.0,0.211,0.01,0.01,0.01,12.0,12.0,12.0,12.0
212,501,2.0,0.212,0.01,0.01,0.01,12.0,12.0,12.0,12.0
213,501,2.0,0.213,0.01,0.01,0.01,12.0,12.0,12.0,12.0
214,501,2.0,0.214,0.01,0.01,0.01,12.0,12.0,12.0,12.0
215,501,2.0,0.215,0.01,0.01,0.01,12.0,12.0,12.0,12.0
216,501,2.0,0.216,0.01,0.01,0.01,12.0,12.0,12.0,12.0
217,501,2.0,0.217,0.01,0.01,0.01,12.0,12.0,12.0,12.0
218,501,2.0,0.218,0.01,0.01,0.01,12.0,12.0,12.0,12.0
219,501,2.0,0.219,0.01,0.01,0.01,12.0,12.0,12.0,12.0
220,501,2.0,0.22,0.01,0.01,0.01,12.0,12.0,12.0,12.0
221,501,2.0,0.221,0.01,0.01,0.01,12.0,12.0,12.0,12.0
222,501,2.0,0.222,0.01,0.01,0.01,12.0,12.0,12.0,12.0
223,501,2.0,0.223,0.01,0.01,0.01,12.0,12.0,12.0,12.0
224,501,2.0,0.224,0.01,0.01,0.01,12.0,12.0,12.0,12.0
225,501,2.0,0.225,0.01,0.01,0.01,12.0,12.0,12.0,12.0
226,501,2.0,0.226,0.01,0.01,0.01,12.0,12.0,12.0,12.0
227,501,2.0,0.227,0.01,0.01,0.01,12.0,12.0,12.0,12.0
228,501,2.0,0.228,0.01,0.01,0.01,12.0,12.0,12.0,12.0
229,501,2.0,0.229,0.01,0.01,0.01,12.0,12.0,12.0,12.0
230,501,2.0,0.23,0.01,0.01,0.01,12.0,12.0,12.0,12.0
231,501,2.0,0.231,0.01,0.01,0.01,12.0,12.0,12.0,12.0
232,501,2.0,0.232,0.01,0.01,0.01,12.0,12.0,12.0,12.0
233,501,2.0,0.233,0.01,0.01,0.01,12.0,12.0,12.0,12.0
