,baseline,variation,aggregation_method,USA,EUR,JAP,CHN,BRA,IND,ROW,CAN,KOR,RUS,MEX,ZAF
64,1020,99.8,negishi,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,12.0,
65,1020,99.8,pop_weighted,0.01,0.01,0.01,0.8831310812774177,12.0,12.0,12.0,0.01,0.01,0.1422903138718632,0.01,
66,1020,99.9,negishi,0.0100007874583577,0.5537317952059578,0.0100007874583498,12.0,11.999999999999954,11.999999999999954,11.999999212541567,0.0100007874583666,0.0100007874584618,12.0,11.999999999999943,
67,1020,99.9,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.2042569863502163,
68,1020,99.10,negishi,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,12.0,
69,1020,99.10,pop_weighted,0.0100000017375902,0.01,0.01,12.0,11.999999998262409,11.999999998262409,11.999999998262409,0.01,0.01,12.0,0.01,
70,1020,99.11,negishi,0.0100003605999552,0.01,0.0100003596015329,11.99999963760879,11.999999979986631,12.0,11.999999985289922,0.01,0.0100003662397894,11.99999997934407,11.999999999888091,
71,1020,99.11,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.0436112602508013,
72,1020,99.3,pop_weighted,0.0100000033043528,0.01,0.01,11.999999776631084,11.999999776631084,11.999999996695648,12.0,0.0100002200645634,0.0100000033043528,11.99999984797996,0.01,
73,1020,99.4,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.0307203223355144,
74,1020,99.5,negishi,0.01,0.0682979387892956,0.0638940697545226,1.0,0.9999992315535234,1.0,0.9999992315535234,0.0417575153939541,0.0636005132711986,0.9999992315535234,0.9999992315535234,
75,1020,99.5,pop_weighted,0.01,0.01,0.01,0.0627265199050705,1.0,1.0,1.0,0.01,0.01,0.0996458626286498,0.010000027725914,
76,1020,99.5,negishi,0.01,0.06829798404069,0.0638941115875935,12.0,12.0,12.0,12.0,0.0417567715973556,0.0636005548764083,12.0,12.0,
77,1020,99.5,pop_weighted,0.01,0.01,0.01,0.0627265208882845,12.0,12.0,12.0,0.01,0.01,0.0996458887751985,0.01,
78,1030,baseline,negishi,0.01,0.01,0.0100000103547318,12.0,12.0,11.999999995057998,12.0,0.01,0.01,12.0,12.0,
79,1030,baseline,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.0100000435640632,0.0100000789860593,11.999999999999998,0.01,
80,1030,10.2,negishi,0.01,0.0259498348068297,0.01,12.0,12.0,12.0,12.0,0.8842948133549243,12.0,12.0,0.7324947869683245,
81,1030,10.2,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,12.0,
82,1030,10.2,pop_weighted,0.01,0.01,0.01,11.999999135817824,12.0,12.0,12.0,0.01,0.0100006387676069,12.0,0.0100002076430337,
83,1030,99.0,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.01,
84,1030,99.1,negishi,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.01,
85,1030,99.1,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.0100000773239783,0.01,12.0,0.01,
86,1030,99.2,negishi,0.0100005004097056,0.01,0.01,11.999999499590295,11.999999719435808,11.999999499590295,12.0,0.01,0.0100005004097056,11.999999499590295,0.0100005004097056,
87,1030,99.2,pop_weighted,0.0100001854616274,0.01,0.010000203525749,12.0,12.0,11.999999988111403,11.999999741301998,0.010000198736387,0.0100001890732021,11.999999994950718,0.0100000712448257,
88,1030,99.3,negishi,0.01,0.01,0.01,12.0,11.99999925765308,12.0,11.99999925765308,0.01,0.01,12.0,0.01,
89,1030,99.3,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.01,
90,1030,99.4,negishi,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.01,
91,1030,99.4,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.01,
92,1030,99.5,negishi,0.0100001250287658,0.01,0.0100001250287658,12.0,11.999999874971234,12.0,12.0,0.01,0.01,12.0,0.01,
93,1030,99.5,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.01,
94,1030,99.6,negishi,0.0100000343019344,0.01,0.01,11.99999999766052,12.0,11.999999992969135,11.999999995479108,0.01,0.01,11.9999999968052,0.0100000053624842,
95,1030,99.6,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.01,
96,1030,99.7,negishi,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.01,
97,1030,99.7,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.01,
98,1030,99.8,negishi,0.0100000091050521,0.01,0.01,12.0,12.0,12.0,11.999999990894947,0.01,0.01,12.0,0.01,
99,1030,99.8,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.01,
100,1030,99.9,negishi,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.01,
101,1030,99.9,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.01,
