,baseline,variation,aggregation_method,USA,EUR,JAP,CHN,BRA,IND,ROW,Equal,Negishi,CAN,KOR,RUS,AUS,MEX,ZAF
1552,1020,99.6,pop_weighted,1.0940530452521509,1.002142481675538,1.0030419064241196,1.4154971669841854,1.403534321027169,1.4043192213007432,1.4237303302376292,1.3960823400193638,1.2119303869460711,1.091031249860439,1.086502152905806,1.4075929708662738,,1.129216450164021,
1553,1020,99.6,negishi,1.09049721863954,0.9997394139976422,1.0002047504324438,1.4127785511893154,1.4009891171540645,1.401660863035758,1.4207655090917592,1.395676674121729,1.2143604057188122,1.0879058827291137,1.0828129504802737,1.405706433750242,,1.3884311066111223,
1554,1020,99.7,pop_weighted,0.98895246883974,0.9836344394443558,0.988414120278399,1.0331080814406517,1.01921914398771,1.015237403372375,1.0097401960067032,1.0133837687132086,1.005509893483264,0.9944303783286954,1.0135026334744344,1.0149704566803015,,1.0130860683282323,
1555,1020,99.7,negishi,0.9862004103302472,1.0245048371286605,0.981618026865153,1.0268337527314515,1.0130555340066394,1.008983769458781,1.0025003528563,1.0075913055940653,1.0090694615379945,0.986916995035681,1.0038830233229246,1.0083459904760186,,1.0070418178362,
1556,1020,99.8,pop_weighted,1.0347758365645794,1.0331303642121308,1.037641225820686,1.165442882415033,1.1586862120418049,1.157067347773051,1.1632922991745762,1.1553634219225728,1.0984472359673023,1.0777988345814702,1.075126071378966,1.1423700936935288,,0.9952486040798766,
1557,1020,99.8,negishi,1.0312559710675469,1.030565855204827,1.034807345537197,1.1639465868748864,1.1565935938307226,1.154906442577718,1.1609149129331915,1.1546762081133064,1.1001008587288212,1.074784281478325,1.0716714526644475,1.157648323447465,,1.1532643082585723,
1558,1020,99.9,pop_weighted,0.9418359843404094,0.940695979044428,0.9491660554618632,1.0957536522561062,1.08526600462376,1.083354329390848,1.085796983490367,1.0807209618192872,1.01883351553919,0.9805118194575504,0.984621488154528,1.0853584830075644,,1.069844703134315,
1559,1020,99.9,negishi,0.9220845034481944,1.078055283337876,0.9220752369878944,1.067832427853332,1.0586786569475022,1.0564563452392408,1.0560777599849906,1.056107175231069,1.0264558987723824,0.951348412926583,0.9464935371935788,1.058673929008785,,1.0513106767388125,
1560,1020,99.10,pop_weighted,0.9994292601828946,0.9963712177791606,1.0036817798755109,1.1533927733103717,1.143905346316861,1.142144827770094,1.1465453340151692,1.138596955422,1.0740475341217848,1.0393352061239187,1.0405084503325377,1.1447942114236098,,0.9601700078867996,
1561,1020,99.10,negishi,0.9964061206842362,0.9943157696731412,1.0012933214629944,1.1515502170955716,1.1421488809235925,1.1403277213587883,1.144556377600639,1.138233837143082,1.075950991262995,1.0368380177138865,1.0375642070201578,1.1428306478869636,,1.1356032894147887,
