,baseline,variation,aggregation_method,USA,EUR,JAP,CHN,BRA,IND,ROW
60,311,6.2,negishi,0.01,0.01,0.01,97.36975690400864,51.89703134313295,100.0,73.5365624371633
61,311,6.3,pop_weighted,0.01,0.01,0.01,77.7012146416438,20.667902055802745,83.88607857578133,53.822392819794445
62,311,6.3,negishi,0.01,0.01,0.01,22.946828432710586,11.189519654478625,14.984218751662414,15.34651021555526
63,311,8.0,pop_weighted,0.01,0.01,0.01,14.065380845545745,4.945128293992497,13.790823520330356,15.377245495803182
64,311,8.0,negishi,0.01,0.01,0.01,7.834872084086951,4.348305599699847,5.5796200205200295,8.605361402807505
65,312,1.1,pop_weighted,0.01,0.01,0.01,14.391220622233796,5.599998129956363,15.522703071514307,14.012388901163158
66,312,1.1,negishi,0.01,31.239699488301483,0.01,37.05620435639416,18.5905961247571,24.43326334649692,24.62683524018683
67,312,1.2,pop_weighted,0.01,0.01,0.01,0.2943398295689246,0.0965226198331442,0.5143485582850483,0.2946011366353629
68,312,1.2,negishi,24.33424739939333,34.88999642266209,32.17365180495914,24.476171625273388,31.99106007188114,31.02820776066854,61.81804590145845
69,312,1.3,pop_weighted,6.825753863415924,1.5640424021050194,1.196287590406032,6.154124913500836,3.870364043889464,7.751969267241168,10.066248878062671
70,312,1.3,negishi,4.962005769234262,5.206112760260093,3.154887953633163,4.491543174880094,1.9268587175795409,2.6686550364980364,5.625266452080967
71,312,2.1,pop_weighted,0.01,0.01,0.01,29.52620318704124,7.718253634630632,32.502425166014724,18.54239845074025
72,312,2.1,negishi,0.01,0.01,0.01,28.5724309482908,13.85029740235573,18.550439758156564,15.969498614270025
73,312,2.2,pop_weighted,0.01,0.01,0.01,8.951162614961891,4.497709287465131,8.933450389013746,10.540728692195552
74,312,2.2,negishi,8.732718957009205,10.069199302689997,0.01,8.957650651065979,6.03867908193939,7.132578972196045,13.440483646543662
75,312,2.3,pop_weighted,0.01,0.01,0.01,21.026074865687413,10.010494762755982,22.74603859039077,22.98305509981792
76,312,2.3,negishi,8.42528611884794,7.443834058423575,5.018121020377697,9.137826825953711,4.615528766708038,5.514015831672298,8.300708390488891
77,312,3.1,pop_weighted,0.01,0.01,0.01,11.64053893660627,4.544442873550706,11.734490624897562,11.55244154608725
78,312,3.1,negishi,0.01,0.01,0.01,35.331542028353404,5.556899803410789,23.90330313759561,27.382350646563403
79,312,3.2,pop_weighted,0.01,0.01,0.01,4.148163151947249,7.536168567375046,3.2108357124979534,20.902926316021013
80,312,3.2,negishi,0.01,9.208318800302711,3.5228872645746847,5.132412799276644,2.914739095549483,4.017448651697467,7.201138535916655
81,312,3.3,pop_weighted,0.01,0.01,0.01,4.591153827312816,3.649801971456105,3.044881661372147,9.447309927011736
82,312,3.3,negishi,2.8817481543864703,4.319991885647745,2.197164317947138,3.8112343825624713,2.135458804582356,2.97778135383508,4.780219234917575
83,312,4.1,pop_weighted,0.01,0.01,0.01,31.163803309895098,8.352078479314615,34.54409096690156,19.90335547529377
84,312,4.1,negishi,0.01,0.01,0.01,99.99999849033144,50.53478472834593,67.2621714084365,55.907293494668174
85,312,4.2,pop_weighted,0.01,0.01,0.01,9.437641398587829,2.713251671610005,5.892066147436651,5.474233529581465
86,312,4.2,negishi,10.433545683027766,8.884551111167344,0.01,5.724487488391732,5.431281239681112,6.428224419413285,10.031936958483689
87,312,4.3,pop_weighted,0.0100000245610439,0.0439361320777436,0.0359227343865028,0.1309585449794509,0.0456824915291238,0.1687157291450751,0.1639952452786475
88,312,4.3,negishi,4.247177117661487,5.858291019789348,0.110109675295326,5.230853578155072,5.255505178910818,3.912386862732106,6.94889974714995
89,312,5.1,pop_weighted,0.01,0.01,0.01,17.85808153523528,4.937808789817044,18.228152887311943,14.521283083682626
90,312,5.1,negishi,0.01,0.01,0.01,85.21029019536233,42.099463110728585,57.16085070785855,55.71274840356853
91,312,5.2,pop_weighted,0.01,0.01,0.01,5.825469855067675,2.9448089230936,5.028866897238244,7.632922355610559
92,312,5.2,negishi,0.01,3.866108299966341,0.01,5.8086667989948655,3.5664416559370817,4.261580633979929,7.3900003562559
93,312,5.3,pop_weighted,0.01,0.01,0.01,6.792418355879242,3.250223602197339,7.502718833493539,8.117189309114645
94,312,5.3,negishi,0.7022444948906733,4.548601242918424,0.01,4.262592546699315,2.5913667106139315,3.078875544336658,5.551760328629485
95,312,6.1,pop_weighted,0.01,0.01,0.01,27.14466377293965,5.984122976467229,29.476993189201657,17.871206471345936
