origin_code,destination_code,sectors,patent flows
5.0,2.0,2,8.033510931623184
5.0,3.0,1,19.808017258885425
5.0,3.0,2,4.354952935788494
5.0,4.0,1,4.052038197170578
5.0,4.0,2,2.512921100354509
5.0,5.0,1,1475.18634561935
5.0,5.0,2,850.5627356865114
5.0,6.0,1,0.3558341517556663
5.0,6.0,2,0.20513122075220366
5.0,7.0,1,16.928181508988004
5.0,7.0,2,9.07883630473353
5.0,8.0,1,4.1578684718694685
5.0,8.0,2,1.047922790625514
5.0,9.0,1,0.0021847484704201215
5.0,9.0,2,0.0020633116905902802
5.0,10.0,1,11.153969249953857
5.0,10.0,2,2.174081171846564
5.0,11.0,1,2.3458487046099497
5.0,11.0,2,3.419705831010375
5.0,12.0,1,1.5551497730696042
5.0,12.0,2,0.5719870058434429
6.0,1.0,1,5.03739036782431
6.0,1.0,2,10.024487380466311
6.0,2.0,1,1.01417950776593
6.0,2.0,2,5.015574179963381
6.0,3.0,1,0.523831920635767
6.0,3.0,2,1.7005448024705383
6.0,4.0,1,0.1429408850554805
6.0,4.0,2,0.127174057473255
6.0,5.0,1,0.3116965834575423
6.0,5.0,2,1.5920452190138428
6.0,6.0,1,417.7121317896452
6.0,6.0,2,1620.1008797528527
6.0,7.0,1,1.6622846049759872
6.0,7.0,2,3.7620921181303184
6.0,8.0,1,0.0974460523074353
6.0,8.0,2,0.7695141409685474
6.0,9.0,1,0.0009327178064237
6.0,9.0,2,0.0260943092206032
6.0,10.0,1,0.0009327178064237
6.0,10.0,2,0.0260943092206032
6.0,11.0,1,0.0393152539709482
6.0,11.0,2,0.6512038365481423
6.0,12.0,1,0.0544708240603793
6.0,12.0,2,0.2328858170391493
7.0,1.0,1,1846.808852202271
7.0,1.0,2,430.8521348032613
7.0,2.0,1,227.1821121207007
7.0,2.0,2,96.72150845020366
7.0,3.0,1,235.8846067988603
7.0,3.0,2,109.3900443669676
7.0,4.0,1,36.59361429243928
7.0,4.0,2,21.13874501492002
7.0,5.0,1,41.44247573904218
7.0,5.0,2,23.350263874285652
7.0,6.0,1,18.476376884530854
7.0,6.0,2,10.132857113370513
7.0,7.0,1,1814.4574819918964
7.0,7.0,2,685.3978740702862
7.0,8.0,1,34.83741447121471
7.0,8.0,2,29.113244898714424
7.0,9.0,1,6.640019737593825
7.0,9.0,2,3.8354004304734017
7.0,10.0,1,30.170014657018857
7.0,10.0,2,16.33654544954125
7.0,11.0,1,35.92263811440809
7.0,11.0,2,31.496117721259516
7.0,12.0,1,33.53837449565075
7.0,12.0,2,16.507050076894675
8.0,1.0,1,781.8503885874463
8.0,1.0,2,107.19514522801386
8.0,2.0,1,162.4240555487041
8.0,2.0,2,28.1142574785415
8.0,3.0,1,532.052546374652
8.0,3.0,2,89.50013219677697
8.0,4.0,1,95.86796100423535
8.0,4.0,2,15.829955662431338
8.0,5.0,1,12.719591827935425
8.0,5.0,2,2.4824915053979115
8.0,6.0,1,30.823808673912858
8.0,6.0,2,5.638940539098681
8.0,7.0,1,54.64743132622087
8.0,7.0,2,13.470586073046524
8.0,8.0,1,6947.852848906545
8.0,8.0,2,1452.0895732546971
8.0,9.0,1,0.2013478192996756
8.0,9.0,2,0.7986521807003242
8.0,10.0,1,2.7618296559019533
8.0,10.0,2,1.547694153621856
8.0,11.0,1,1.5750498321829232
8.0,11.0,2,1.3937001678170764
8.0,12.0,1,4.504514017485861
8.0,12.0,2,1.614919150617726
9.0,1.0,1,60.145883171721295
